package_name,banned_versions,severity,weekly_downloads,first_detected,patient_zero,description,attack_vector,priority
@hestjs/validation,0.1.6,medium,1000,2025-09-15,false,Compromised package: @hestjs/validation,postinstall script,3
@nativescript-community/arraybuffers,"1.1.6, 1.1.7, 1.1.8",high,25000,2025-09-15,false,Compromised package: @nativescript-community/arraybuffers,postinstall script,2
@nativescript-community/gesturehandler,2.0.35,high,25000,2025-09-15,false,Compromised package: @nativescript-community/gesturehandler,postinstall script,2
@nativescript-community/perms,"3.0.5, 3.0.6, 3.0.7, 3.0.8, 3.0.9",high,25000,2025-09-15,false,Compromised package: @nativescript-community/perms,postinstall script,2
@nativescript-community/sentry,4.6.43,high,25000,2025-09-15,false,Compromised package: @nativescript-community/sentry,postinstall script,2
@nativescript-community/sqlite,"3.5.2, 3.5.3, 3.5.4, 3.5.5",high,25000,2025-09-15,false,Compromised package: @nativescript-community/sqlite,postinstall script,2
@nativescript-community/text,"1.6.13, 1.6.10, 1.6.11, 1.6.12, 1.6.9",high,25000,2025-09-15,false,Compromised package: @nativescript-community/text,postinstall script,2
@nativescript-community/typeorm,"0.2.30, 0.2.31, 0.2.32, 0.2.33",high,25000,2025-09-15,false,Compromised package: @nativescript-community/typeorm,postinstall script,2
@nativescript-community/ui-collectionview,6.0.6,high,25000,2025-09-15,false,Compromised package: @nativescript-community/ui-collectionview,postinstall script,2
@nativescript-community/ui-document-picker,"1.1.27, 1.1.28, 13.0.32",high,25000,2025-09-15,false,Compromised package: @nativescript-community/ui-document-picker,postinstall script,2
@nativescript-community/ui-drawer,0.1.30,high,25000,2025-09-15,false,Compromised package: @nativescript-community/ui-drawer,postinstall script,2
@nativescript-community/ui-image,4.5.6,high,25000,2025-09-15,false,Compromised package: @nativescript-community/ui-image,postinstall script,2
@nativescript-community/ui-label,"1.3.35, 1.3.36, 1.3.37",high,25000,2025-09-15,false,Compromised package: @nativescript-community/ui-label,postinstall script,2
@nativescript-community/ui-material-bottom-navigation,"7.2.72, 7.2.73, 7.2.74, 7.2.75",high,25000,2025-09-15,false,Compromised package: @nativescript-community/ui-material-bottom-navigation,postinstall script,2
@nativescript-community/ui-material-bottomsheet,7.2.72,high,25000,2025-09-15,false,Compromised package: @nativescript-community/ui-material-bottomsheet,postinstall script,2
@nativescript-community/ui-material-core,"7.2.76, 7.2.72, 7.2.73, 7.2.74, 7.2.75",high,25000,2025-09-15,false,Compromised package: @nativescript-community/ui-material-core,postinstall script,2
@nativescript-community/ui-material-core-tabs,"7.2.76, 7.2.72, 7.2.73, 7.2.74, 7.2.75",high,25000,2025-09-15,false,Compromised package: @nativescript-community/ui-material-core-tabs,postinstall script,2
@nativescript-community/ui-material-ripple,"7.2.72, 7.2.73, 7.2.74, 7.2.75",high,25000,2025-09-15,false,Compromised package: @nativescript-community/ui-material-ripple,postinstall script,2
@nativescript-community/ui-material-tabs,"7.2.72, 7.2.73, 7.2.74, 7.2.75",high,25000,2025-09-15,false,Compromised package: @nativescript-community/ui-material-tabs,postinstall script,2
@nativescript-community/ui-pager,"14.1.35, 14.1.36, 14.1.37, 14.1.38",high,25000,2025-09-15,false,Compromised package: @nativescript-community/ui-pager,postinstall script,2
@nativescript-community/ui-pulltorefresh,"2.5.4, 2.5.5, 2.5.6, 2.5.7",high,25000,2025-09-15,false,Compromised package: @nativescript-community/ui-pulltorefresh,postinstall script,2
@nexe/config-manager,0.1.1,medium,1000,2025-09-15,false,Compromised package: @nexe/config-manager,postinstall script,3
@nexe/eslint-config,0.1.1,medium,1000,2025-09-15,false,Compromised package: @nexe/eslint-config,postinstall script,3
@nexe/logger,0.1.3,medium,1000,2025-09-15,false,Compromised package: @nexe/logger,postinstall script,3
@nstudio/angular,"20.0.4, 20.0.5, 20.0.6",medium,1000,2025-09-15,false,Compromised package: @nstudio/angular,postinstall script,3
@nstudio/focus,"20.0.4, 20.0.5, 20.0.6",medium,1000,2025-09-15,false,Compromised package: @nstudio/focus,postinstall script,3
@nstudio/nativescript-checkbox,"2.0.6, 2.0.7, 2.0.8, 2.0.9",medium,1000,2025-09-15,false,Compromised package: @nstudio/nativescript-checkbox,postinstall script,3
@nstudio/nativescript-loading-indicator,"5.0.1, 5.0.2, 5.0.3, 5.0.4",medium,1000,2025-09-15,false,Compromised package: @nstudio/nativescript-loading-indicator,postinstall script,3
@nstudio/ui-collectionview,"5.1.11, 5.1.12, 5.1.13, 5.1.14",medium,1000,2025-09-15,false,Compromised package: @nstudio/ui-collectionview,postinstall script,3
@nstudio/web,20.0.4,medium,1000,2025-09-15,false,Compromised package: @nstudio/web,postinstall script,3
@nstudio/web-angular,20.0.4,medium,1000,2025-09-15,false,Compromised package: @nstudio/web-angular,postinstall script,3
@nstudio/xplat,"20.0.4, 20.0.5, 20.0.6, 20.0.7",medium,1000,2025-09-15,false,Compromised package: @nstudio/xplat,postinstall script,3
@nstudio/xplat-utils,"20.0.4, 20.0.5, 20.0.6, 20.0.7",medium,1000,2025-09-15,false,Compromised package: @nstudio/xplat-utils,postinstall script,3
@operato/board,"9.0.35, 9.0.36, 9.0.37, 9.0.38, 9.0.39, 9.0.40, 9.0.41, 9.0.42, 9.0.43, 9.0.44, 9.0.45, 9.0.46, 9.0.47, 9.0.48, 9.0.49, 9.0.50, 9.0.51",medium,1000,2025-09-15,false,Compromised package: @operato/board,postinstall script,3
@operato/data-grist,"9.0.29, 9.0.35, 9.0.36, 9.0.37",medium,1000,2025-09-15,false,Compromised package: @operato/data-grist,postinstall script,3
@operato/graphql,"9.0.22, 9.0.35, 9.0.36, 9.0.37, 9.0.38, 9.0.39, 9.0.40, 9.0.41, 9.0.42, 9.0.43, 9.0.44, 9.0.45, 9.0.46, 9.0.47, 9.0.48, 9.0.49, 9.0.50, 9.0.51",medium,1000,2025-09-15,false,Compromised package: @operato/graphql,postinstall script,3
@operato/headroom,"9.0.2, 9.0.35, 9.0.36, 9.0.37",medium,1000,2025-09-15,false,Compromised package: @operato/headroom,postinstall script,3
@operato/help,"9.0.35, 9.0.36, 9.0.37, 9.0.38, 9.0.39, 9.0.40, 9.0.41, 9.0.42, 9.0.43, 9.0.44, 9.0.45, 9.0.46, 9.0.47, 9.0.48, 9.0.49, 9.0.50, 9.0.51",medium,1000,2025-09-15,false,Compromised package: @operato/help,postinstall script,3
@operato/i18n,"9.0.35, 9.0.36, 9.0.37",medium,1000,2025-09-15,false,Compromised package: @operato/i18n,postinstall script,3
@operato/input,"9.0.27, 9.0.35, 9.0.36, 9.0.37, 9.0.38, 9.0.39, 9.0.40, 9.0.41, 9.0.42, 9.0.43, 9.0.44, 9.0.45, 9.0.46, 9.0.47, 9.0.48",medium,1000,2025-09-15,false,Compromised package: @operato/input,postinstall script,3
@operato/layout,"9.0.35, 9.0.36, 9.0.37",medium,1000,2025-09-15,false,Compromised package: @operato/layout,postinstall script,3
@operato/popup,"9.0.22, 9.0.35, 9.0.36, 9.0.37, 9.0.38, 9.0.39, 9.0.40, 9.0.41, 9.0.42, 9.0.43, 9.0.44, 9.0.45, 9.0.46, 9.0.47, 9.0.48, 9.0.49, 9.0.50, 9.0.51",medium,1000,2025-09-15,false,Compromised package: @operato/popup,postinstall script,3
@operato/pull-to-refresh,"9.0.35, 9.0.36, 9.0.37, 9.0.38, 9.0.39, 9.0.40, 9.0.41, 9.0.42, 9.0.43, 9.0.44, 9.0.45, 9.0.46, 9.0.47",medium,1000,2025-09-15,false,Compromised package: @operato/pull-to-refresh,postinstall script,3
@operato/shell,"9.0.22, 9.0.35, 9.0.36, 9.0.37, 9.0.38, 9.0.39",medium,1000,2025-09-15,false,Compromised package: @operato/shell,postinstall script,3
@operato/styles,"9.0.2, 9.0.35, 9.0.36, 9.0.37",medium,1000,2025-09-15,false,Compromised package: @operato/styles,postinstall script,3
@operato/utils,"9.0.22, 9.0.35, 9.0.36, 9.0.37, 9.0.38, 9.0.39, 9.0.40, 9.0.41, 9.0.42, 9.0.43, 9.0.44, 9.0.45, 9.0.46, 9.0.47, 9.0.48, 9.0.49, 9.0.50, 9.0.51",medium,1000,2025-09-15,false,Compromised package: @operato/utils,postinstall script,3
@teselagen/bio-parsers,"0.4.29, 0.4.30",medium,1000,2025-09-15,false,Compromised package: @teselagen/bio-parsers,postinstall script,3
@teselagen/bounce-loader,"0.3.16, 0.3.17",medium,1000,2025-09-15,false,Compromised package: @teselagen/bounce-loader,postinstall script,3
@teselagen/file-utils,"0.3.21, 0.3.22",medium,1000,2025-09-15,false,Compromised package: @teselagen/file-utils,postinstall script,3
@teselagen/liquibase-tools,0.4.1,medium,1000,2025-09-15,false,Compromised package: @teselagen/liquibase-tools,postinstall script,3
@teselagen/ove,"0.7.39, 0.7.40",medium,1000,2025-09-15,false,Compromised package: @teselagen/ove,postinstall script,3
@teselagen/range-utils,"0.3.14, 0.3.15",medium,1000,2025-09-15,false,Compromised package: @teselagen/range-utils,postinstall script,3
@teselagen/react-list,"0.8.19, 0.8.20",medium,1000,2025-09-15,false,Compromised package: @teselagen/react-list,postinstall script,3
@teselagen/react-table,"6.10.21, 6.10.19, 6.10.20, 6.10.22",medium,1000,2025-09-15,false,Compromised package: @teselagen/react-table,postinstall script,3
@teselagen/sequence-utils,"0.3.33, 0.3.34",medium,1000,2025-09-15,false,Compromised package: @teselagen/sequence-utils,postinstall script,3
@teselagen/ui,"0.9.9, 0.9.10",medium,1000,2025-09-15,false,Compromised package: @teselagen/ui,postinstall script,3
@thangved/callback-window,1.1.4,medium,1000,2025-09-15,false,Compromised package: @thangved/callback-window,postinstall script,3
@things-factory/attachment-base,"9.0.42, 9.0.43, 9.0.44, 9.0.45, 9.0.46, 9.0.47, 9.0.48, 9.0.49, 9.0.50, 9.0.51, 9.0.52, 9.0.53, 9.0.54, 9.0.55",medium,1000,2025-09-15,false,Compromised package: @things-factory/attachment-base,postinstall script,3
@things-factory/auth-base,"9.0.42, 9.0.43, 9.0.44, 9.0.45",medium,1000,2025-09-15,false,Compromised package: @things-factory/auth-base,postinstall script,3
@things-factory/email-base,"9.0.42, 9.0.43, 9.0.44, 9.0.45, 9.0.46, 9.0.47, 9.0.48, 9.0.49, 9.0.50, 9.0.51, 9.0.52, 9.0.53, 9.0.54, 9.0.55, 9.0.56, 9.0.57, 9.0.58, 9.0.59",medium,1000,2025-09-15,false,Compromised package: @things-factory/email-base,postinstall script,3
@things-factory/env,"9.0.42, 9.0.43, 9.0.44, 9.0.45",medium,1000,2025-09-15,false,Compromised package: @things-factory/env,postinstall script,3
@things-factory/integration-base,"9.0.42, 9.0.43, 9.0.44, 9.0.45",medium,1000,2025-09-15,false,Compromised package: @things-factory/integration-base,postinstall script,3
@things-factory/integration-marketplace,"9.0.42, 9.0.43, 9.0.44, 9.0.45",medium,1000,2025-09-15,false,Compromised package: @things-factory/integration-marketplace,postinstall script,3
@things-factory/shell,"9.0.42, 9.0.43, 9.0.44, 9.0.45",medium,1000,2025-09-15,false,Compromised package: @things-factory/shell,postinstall script,3
@tnf-dev/api,1.0.8,medium,1000,2025-09-15,false,Compromised package: @tnf-dev/api,postinstall script,3
@tnf-dev/core,1.0.8,medium,1000,2025-09-15,false,Compromised package: @tnf-dev/core,postinstall script,3
@tnf-dev/js,1.0.8,medium,1000,2025-09-15,false,Compromised package: @tnf-dev/js,postinstall script,3
@tnf-dev/mui,1.0.8,medium,1000,2025-09-15,false,Compromised package: @tnf-dev/mui,postinstall script,3
@tnf-dev/react,1.0.8,medium,1000,2025-09-15,false,Compromised package: @tnf-dev/react,postinstall script,3
@ui-ux-gang/devextreme-angular-rpk,24.1.7,medium,1000,2025-09-15,false,Compromised package: @ui-ux-gang/devextreme-angular-rpk,postinstall script,3
